CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
990796760,09/05/2009,23:22:00,,,09/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73.0,OUTSIDE,,,,1009548.0,187629.0,40.681647092,-73.908790497,"(40.681647092, -73.908790497)"
716217342,09/05/2009,04:11:00,,,09/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47.0,OUTSIDE,,,,1024455.0,263291.0,40.889263582,-73.854591147,"(40.889263582, -73.854591147)"
894635575,09/05/2009,00:15:00,,,09/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113.0,OUTSIDE,,,,1053542.0,189908.0,40.687667344,-73.750149004,"(40.687667344, -73.750149004)"
108417997,09/04/2009,21:49:00,,,09/04/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23.0,OUTSIDE,,,,998959.0,227093.0,40.789989944,-73.946882433,"(40.789989944, -73.946882433)"
814420338,09/03/2009,03:57:00,,,09/03/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,90.0,OUTSIDE,,,BUSHWICK,1001079.0,195776.0,40.704028873,-73.93930478,"(40.704028873, -73.93930478)"
904373839,09/01/2009,22:00:00,,,09/01/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9.0,INSIDE,,,,986447.0,203566.0,40.725426295,-73.992075048,"(40.725426295, -73.992075048)"
531308679,09/01/2009,12:15:00,,,09/01/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60.0,OUTSIDE,,,,994005.0,150679.0,40.580257925,-73.964883566,"(40.580257925, -73.964883566)"
344587461,08/31/2009,20:29:00,,,08/31/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72.0,OUTSIDE,,,,984066.0,175173.0,40.647494273,-74.000664508,"(40.647494273, -74.000664508)"
681572167,08/31/2009,20:29:00,,,08/31/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72.0,OUTSIDE,,,,984066.0,175173.0,40.647494273,-74.000664508,"(40.647494273, -74.000664508)"
335389643,08/31/2009,05:25:00,,,08/31/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,OUTSIDE,,,,1013396.0,252818.0,40.860561894,-73.89463399,"(40.860561894, -73.89463399)"
149123467,08/30/2009,23:37:00,,,08/30/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42.0,OUTSIDE,,,,1011033.0,243676.0,40.835477295,-73.903213123,"(40.835477295, -73.903213123)"
950984355,08/28/2009,02:42:00,,,08/28/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79.0,OUTSIDE,,,MARCY,997366.0,192877.0,40.696078078,-73.952701992,"(40.696078078, -73.952701992)"
