3240 3RD AVE 10451
19 STANTON ST 10002
16 GRAMERCY PARK SOUTH 10003
132 FREEMONT AVENUE 10306
118-06 LIBERTY AVENUE 11419
833 2nd Avenue 10017
14621 ROCKAWAY BLVD 11436
181 2 AVENUE 10003
30 W 32ND ST 10001
19 KENMARE STREET 10012
563 CONEY ISLAND AVENUE 11218
196 UNION AVENUE 11211
236 E GUN HILL RD 10467
19421 NORTHERN BOULEVARD 11358
559 GRAND STREET 11211
1972 FLATBUSH AVENUE 11234
130 AUDUBON AVE 10032
2765 WEBSTER AVE 10458
1211 MCDONALD AVE 11230
3939 EMMONS AVENUE 11235
8201 ROOSEVELT AVENUE 11372
211 EAST   43 STREET 10017
13529 37 AVENUE 11354
11 W 32ND ST 10001
52 E 125TH ST 10035
3944 21ST STREET 11101
601 E 187TH ST 10458
175 2 AVENUE 10003
172 W 79TH ST 10024
193 LEE AVE 11211
760766 8 AVENUE 10036
39 GROVE STREET 10014
125 NAGLE AVE 10040
1107 CONEY ISLAND AVE 11230
1512 FULTON ST 11216
3207 WESTCHESTER AVENUE 10461
105 FREEMAN ST 11222
3408 30TH AVE 11103
1101 CLARKSON AVE 11212
14411 JAMAICA AVENUE 11435
237987 ADAM CLAYTON POWELL BOULEVARD 10030
280 ST NICHOLAS AVENUE 10027
1575 3 AVENUE 10128
787 9 AVENUE 10019
3941 QUEENS BOULEVARD 11104
654 AMSTERDAM AVENUE 10025
3627 164 STREET 11358
18 SPRING STREET 10012
280 MARSH AVENUE 10314
4105 BOSTON ROAD 10466
9422 LIBERTY AVE 11417
4317 8 AVENUE 11232
218 REMSEN AVE 11212
7902 5 AVENUE 11209
23520 HILLSIDE AVENUE 11427
10802 72ND AVE 11375
7222 5 AVENUE 11209
4611 KISSENA BOULEVARD 11355
1117 HYLAN BOULEVARD 10305
663 SENECA AVENUE 11385
560 3 AVENUE 10016
723 FULTON STREET 11217
164 MULBERRY STREET 10013
51 COLUMBIA ST 10002
2925 AVENUE P 11229
300 W 22ND ST 10011
68 BERGEN ST 11201
3626A UNION ST 11354
2217 31ST ST 11105
5819 8TH AVE 11220
7617 NEW UTRECHT AVE 11214
3908 64 STREET 11377
156 EAST    2 STREET 10009
255 MALCOLM X BOULEVARD 11233
1345 ROCKAWAY PKWY 11236
9508 SUTPHIN BOULEVARD 11435
6804 BAY PARKWAY 11204
181 GRAHAM AVE 11206
3944 QUEENS BOULEVARD 11104
478 9TH AVE 10018
5275 65TH PL 11378
9109 SPRINGFIELD BOULEVARD 11428
143 PERRY STREET 10014
1093 2 AVENUE 10022
2090 BARTOW AVE 10475
450 CLARKSON AVENUE 11203
362 W 53RD ST 10019
2118 FLATBUSH AVE 11234
214 WEST   50 STREET 10019
2343 UTICA AVENUE 11234
11 WEST   31 STREET 10001
2655 RICHMOND AVE 10314
16928 JAMAICA AVENUE 11432
13620 ROOSEVELT AVE 11354
30 EAST   68 STREET 10065
5406 FLUSHING AVENUE 11378
172 WAVERLY PLACE 10014
16922 HILLSIDE AVE 11432
251 WEST   72 STREET 10023
26 JEFFERSON BOULEVARD 10312
46 SAINT NICHOLAS AVE 10026
4272 KATONAH AVENUE 10470
4106 163RD ST 11358
401 EAST 58 STREET 10022
243 BEDELL AVENUE 10307
250 EAST HOUSTON STREET 10002
9015 QUEENS BOULEVARD 11373
762 9 AVENUE 10019
4042 WEST    8 STREET 10011
2249 ADAM CLAYTON POWELL JR BLVD 10027
340 BAYCHESTER AVENUE 10475
1727 BEDFORD AVENUE 11225
14 MOTT STREET 10013
139 FLATBUSH AVE 11217
21606 JAMAICA AVENUE 11428
5235 METROPOLITAN AVE 11385
5612 METROPOLITAN AVE 11385
23 W 32ND ST 10001
112 STANTON ST 10002
560 5 AVENUE 11215
940 8TH AVE 10019
280 SMITH STREET 11231
1384 EAST GUNHILL ROAD 10469
311 HENRY STREET 11201
10002 NORTHERN BOULEVARD 11368
251 CHURCH ST 10013
7135 73RD PL 11385
8830 PARSONS BOULEVARD 11432
334 8TH AVE 10001
9717 QUEENS BOULEVARD 11374
211 WYCKOFF AVENUE 11237
49 WARREN ST 10007
3004 AVENUE L 11210
736 E 152ND ST 10455
87 7 AVENUE SOUTH 10014
1000 3 AVENUE 10022
425 AMSTERDAM AVENUE 10024
10309 GLENWOOD RD 11236
581 HUDSON STREET 10014
500 FOREST AVENUE 10310
15708 NORTHERN BLVD 11354
22407 UNION TURNPIKE 11364
2115 GRAND CONCOURSE 10453
3007 ASTORIA BLVD 11102
30 EAST   13 STREET 10003
3706 90 STREET 11372
346 WEST   46 STREET 10036
75 9TH AVE 10011
8530 3 AVENUE 11209
500 AVENUE OF THE AMERICAS 10011
1485 MYRTLE AVENUE 11237
1401 ROCKAWAY PKWY 11236
25631 UNION TPKE 11004
195 BROADWAY 10007
1701 PITKIN AVENUE 11212
454 GRAHAM AVE 11211
350 PARK AVE 10022
711 NOSTRAND AVE 11216
366 UNION AVENUE 11211
12430 ROCKAWAY BLVD 11420
144 DECATUR ST 11233
4502 JUNCTION BOULEVARD 11368
3717 30TH AVENUE 11103
2953 WEBSTER AVENUE 10458
1100 MADISON AVENUE 10028
226 E 51ST ST 10022
147 BLEECKER STREET 10012
1703 MCDONALD AVE 11230
552 WEST  235 STREET 10463
2178 BROADWAY 10024
13901 GRAND CENTRAL PKWY 11435
707 NOSTRAND AVE 11216
6418 108TH ST 11375
536 CITY ISLAND AVE 10464
163 MONTROSE AVE 11206
287 AVENUE U 11223
501 W 214TH ST 10034
60 EAST   65 STREET 10065
6002 WOODSIDE AVENUE 11377
2461 FREDERICK DOUGLASS BLVD 10027
22 EAST   66 STREET 10065
2248 1ST AVE 10029
930 3 AVENUE 10022
2549 BROADWAY 10025
8915 165 STREET 11432
4121 NATIONAL ST 11368
7002 34 AVENUE 11372
348 WYTHE AVE 11249
4102 AVENUE D 11203
24505 JERICHO TPKE 11426
141 W 41ST ST 10036
300 WEST   44 STREET 10036
14921A 41 AVENUE 11355
10910 LIBERTY AVENUE 11419
832 WESTCHESTER AVENUE 10455
433 BROOME STREET 10013
817 METROPOLITAN AVENUE 11211
82 BERRY STREET 11249
53 W 35TH ST 10001
7109 13 AVENUE 11228
119 WEST KINGSBRIDGE ROAD 10468
17 PUTNAM AVENUE 11238
1731 WEBSTER AVE 10457
4009 JUNCTION BLVD 11368
420 5TH AVE 10018
9206 ROCKAWAY BEACH BLVD 11693
520 8 AVENUE 10018
17 W 125TH ST 10027
419 KINGSTON AVE 11225
116 MACDOUGAL ST 10012
922 7 AVENUE 10019
201 CENTRAL AVE 11221
22318 S CONDUIT AVE 11413
7927 MAIN ST 11367
579 MYRTLE AVE 11205
1489 2 AVENUE 10075
3323 FRANCIS LEWIS BOULEVARD 11358
525 EAST   68 STREET 10065
8777 168TH PL 11432
140 8TH AVE 10011
6912 ROOSEVELT AVE 11377
929 AMSTERDAM AVE 10025
285 COLUMBUS AVENUE 10023
5910 8TH AVE 11220
158 E. 188 TH ST 10468
229 PROSPECT PARK WEST 11215
4189 WHITE PLAINS ROAD 10466
0 LAGUARDIA AIRPORT 11369
17 JOHN STREET 10038
570 BAY ST 10304
1445 RICHMOND AVENUE 10314
9513 NORTHERN BLVD 11372
150 NASSAU ST 10038
2335 ARTHUR AVENUE 10458
1448 SAINT JOHNS PL 11213
318 GRAHAM AVENUE 11211
247 ELDRIDGE STREET 10002
285 W 12TH ST 10014
2902 DITMARS BLVD 11105
243 WEST   42 STREET 10036
5663 RIVERDALE AVENUE 10471
7120 13TH AVE 11228
781 FRANKLIN AVENUE 11238
151 W 51ST ST 10019
657 FAIRVIEW AVENUE 11385
557 DRIGGS AVENUE 11211
801 ANNADALE RD 10312
79 5TH AVE 10003
476 2 AVENUE 10016
204 GARFIELD PLACE 11215
4 TIMES SQUARE 10036
12221 MERRICK BLVD 11434
136 WEST   46 STREET 10036
159 CENTRAL AVE 11221
366 W 46TH ST 10036
1218 LIBERTY AVENUE 11208
4209 MAIN STREET 11355
521 THIRD AVENUE 10016
210 10TH AVE 10011
8989 UNION TURNPIKE 11385
12 WHITEHALL FERRY TERMINAL 10004
964 AMSTERDAM AVE 10025
54 PEARL STREET 10004
4713 WHITE PLAINS RD 10470
78 W 3RD ST 10012
272 SAND LANE 10305
3409 BROADWAY 10031
80 2 AVENUE 10003
249 E TREMONT AVE 10457
2 MOTT ST 10013
300 E 86TH ST 10028
180 10 AVENUE 10011
7218 3 AVENUE 11209
11000 FLATLANDS AVENUE 11207
2364 JEROME AVENUE 10468
2535 3 AVENUE 10451
119 AVENUE A 10009
381 5TH AVE 11215
107 GRAHAM AVENUE 11206
2788 BROADWAY 10025
7118 13 AVENUE 11228
17802 JAMAICA AVE 11432
45 WEST   46 STREET 10036
247 DYCKMAN STREET 10034
3538 WHITE PLAINS ROAD 10467
129 DWIGHT ST 11231
1306 40TH ST 11218
155 7TH AVE 10011
12034 QUEENS BOULEVARD 11415
226 UTICA AVE 11213
938 3RD AVE 10022
1515 BROADWAY 10036
1625 BROADWAY 10019
7616 3RD AVENUE 11209
30 EAST   33 STREET 10016
1384 BROADWAY 10018
255 VESEY STREET 10282
1154 1 AVENUE 10065
3402 LINDEN PLACE 11354
568 UNION AVE 11211
157 PROSPECT PARK SW 11218
143 E 47TH ST 10017
530 7 AVENUE 10018
5012 SKILLMAN AVE 11377
622 3RD AVE 10017
788 LEXINGTON AVE 10065
9418 SUTPHIN BLVD 11435
2501 JEROME AVE 10468
381 VAN DUZER STREET 10304
3497 BOSTON ROAD 10469
16312 CROSSBAY BOULEVARD 11414
267 ELIZABETH STREET 10012
119 SAINT MARKS PLACE 10009
253 BROADWAY 10310
9630 LINDEN BOULEVARD 11417
939 LEXINGTON AVE 10065
2551A STEINWAY STREET 11103
90 NASSAU STREET 10038
4030 BROADWAY 10032
13 E MOUNT EDEN AVE 10452
2310 86TH ST 11214
714 7 AVENUE 10036
22 WEST    8 STREET 10011
348 WEST   52 STREET 10019
1483 2ND AVE 10075
81 SOUTH    6 STREET 11249
121B NAGLE AVENUE 10040
1488 1 AVENUE 10075
6319 8TH AVE 11220
81 UNIVERSITY PLACE 10003
9419 ROOSEVELT AVENUE 11372
29 E 28TH ST 10016
642 AMSTERDAM AVE 10025
13530 140 STREET 11436
7029 PARSONS BOULEVARD 11365
10614 NORTHERN BLVD 11368
60 W 56TH ST 10019
1479 BEACH CHANNEL DRIVE 11691
279 FLATBUSH AVENUE 11217
1035 E 92ND ST 11236
1060 RUTLAND ROAD 11212
725 3RD AVE 10017
140 EAST   27 STREET 10016
685 3RD AVE 10017
1374 BOSTON ROAD 10456
1617 2 AVENUE 10028
11319 BEACH CHANNEL DRIVE 11694
906908 E GUNHILL RD 10469
3622 QUENTIN ROAD 11234
281 VAN BRUNT ST 11231
1901 EMMONS AVENUE 11235
667 CLASSON AVE 11238
3785 VICTORY BOULEVARD 10314
6422 BAY PARKWAY 11204
9419 ASTORIA BLVD 11369
20 WEST 38 STREET 10018
353 GREENWICH ST 10013
13832 JAMAICA AVENUE 11435
27127 UNION TPKE 11040
805 ZEREGA AVENUE 10473
3612 DITMARS BOULEVARD 11105
1885 3RD AVE 10029
12301 LIBERTY AVE 11419
4909 NORTHERN BOULEVARD 11101
9904A ROCKAWAY BEACH BLVD 11694
350 WEST   42 STREET 10036
28 BOWERY 10013
225 LIBERTY ST 10281
8130 BROADWAY 11373
9006 JAMAICA AVE 11421
1085 2ND AVE 10022
0 JFK AIRPORT 11430
3473 BROADWAY 10031
42 UNION SQ E 10003
13515 37 AVENUE 11354
13621 41ST AVE 11355
7238 AUSTIN ST 11375
3203 BROADWAY 11106
4701 VAN DAM ST 11101
213 PARK AVE S 10003
100 PARK AVE 10017
377 1ST AVE 10010
302 WEST   51 STREET 10019
645 COURTLANDT AVE 10451
123 RIVINGTON STREET 10002
250 EAST BURNSIDE AVENUE 10457
4143 CLIFTON PLACE 11238
5 MOTT ST 10013
8318 3RD AVE 11209
24507 JERICHO TURNPIKE 11426
941 INTERVALE AVENUE 10459
